category,vendor,description,amount
Transportation,Shell,fuel ride,23.52
Entertainment,Steam,movie game streaming,43.25
Healthcare,Local Clinic,medicine #3488,494.46
Transportation,Shell,ride,35.95
Bills & Utilities,AT&T,payment monthly service,783.11
Healthcare,Local Clinic,doctor medical health,143.08
Transportation,Uber,transit,23.0
Others,Various Services,misc,651.19
Bills & Utilities,AT&T,service utility payment #5111,552.0
Transportation,Lyft,gas,8.44
Transportation,Metro,transit,69.51
Groceries,Walmart,bread,84.92
Others,Various Services,payment general #8194,723.76
Shopping,Amazon,electronics shoes purchase #5602,295.78
Entertainment,Steam,music,29.14
Shopping,Best Buy,clothes shoes purchase,90.41
Transportation,BP,taxi #2478,74.49
Transportation,BP,transportation transit,71.99
Food & Dining,Subway,meal,260.8
Food & Dining,Local Restaurant,dinner meal,515.21
Groceries,Trader Joes,food produce #1573,137.5
Bills & Utilities,AT&T,monthly bill,956.01
Others,Various Services,payment general,966.42
Shopping,Nike,shoes accessories purchase,261.95
Healthcare,Walgreens,doctor health medicine,245.18
Groceries,Whole Foods,dairy bread,72.4
Groceries,Kroger,bread dairy produce,165.31
Food & Dining,Pizza Hut,takeout #4313,97.6
Transportation,BP,taxi,52.05
Groceries,Safeway,bread produce dairy #5821,61.1
Others,Miscellaneous,service general misc #8765,122.85
Healthcare,Local Clinic,doctor medicine,101.52
Shopping,H&M,purchase accessories clothes,285.57
Others,Various Services,payment,170.63
Shopping,Nike,purchase clothes,250.18
Transportation,Metro,ride,64.01
Healthcare,Walgreens,doctor medicine,401.43
Bills & Utilities,Electric Company,bill,818.31
Food & Dining,Subway,meal,347.28
Healthcare,Local Clinic,doctor prescription medicine #9898,189.4
Transportation,Shell,taxi transportation gas,12.19
Transportation,Uber,gas transit transportation,73.27
Healthcare,CVS,medical,54.2
Entertainment,Steam,music #1235,18.99
Food & Dining,Pizza Hut,restaurant,484.78
Bills & Utilities,AT&T,bill #7602,105.68
Entertainment,Spotify,music movie entertainment,45.89
Transportation,Metro,transit fuel,42.96
Groceries,Walmart,bread,52.73
Food & Dining,Pizza Hut,dinner lunch restaurant #9875,775.7
Shopping,Best Buy,clothes accessories shoes #7983,171.06
Food & Dining,Pizza Hut,takeout #3913,87.38
Transportation,BP,transportation,7.25
Others,Various Services,other misc,463.1
Transportation,Lyft,fuel transportation,12.93
Food & Dining,Local Restaurant,delivery lunch #2640,797.06
Bills & Utilities,AT&T,payment #9801,880.68
Others,Miscellaneous,general other,552.08
Entertainment,AMC Theaters,game streaming #9850,10.76
Entertainment,Xbox,game streaming movie #9252,30.6
Healthcare,Local Clinic,health,82.11
Transportation,Shell,taxi transit transportation #1268,21.45
Healthcare,Local Clinic,medical,104.58
Entertainment,Xbox,movie,21.57
Others,Unknown Vendor,misc service general,642.75
Groceries,Safeway,meat food bread,152.33
Groceries,Safeway,produce #5391,153.79
Others,Miscellaneous,misc,649.99
Bills & Utilities,AT&T,payment service monthly #8898,875.83
Others,Various Services,misc,471.6
Others,Miscellaneous,payment other general,58.34
Bills & Utilities,Water Service,bill service,106.24
Others,Various Services,payment service,305.56
Bills & Utilities,Water Service,service,174.81
Bills & Utilities,Water Service,bill #4929,977.86
Transportation,Uber,transportation ride,71.27
Transportation,Metro,transit transportation taxi,23.13
Groceries,Safeway,bread meat,41.94
Entertainment,Xbox,game music #8041,22.15
Others,Miscellaneous,misc payment,198.68
Others,Miscellaneous,payment other,128.02
Groceries,Whole Foods,groceries dairy,32.93
Shopping,Best Buy,shoes clothes #2588,189.59
Transportation,Uber,gas taxi ride,45.23
Others,Various Services,service payment,953.42
Entertainment,Spotify,music,28.43
Food & Dining,McDonalds,delivery #6307,420.03
Shopping,Amazon,accessories,294.14
Food & Dining,McDonalds,takeout meal lunch #2370,872.64
Bills & Utilities,AT&T,bill payment,765.32
Groceries,Walmart,food meat,161.85
Others,Various Services,general misc,813.27
Food & Dining,Chipotle,takeout dinner,71.9
Food & Dining,Local Restaurant,dinner,408.56
Groceries,Whole Foods,food #9707,178.38
Entertainment,AMC Theaters,game music,21.38
Shopping,Amazon,shoes purchase electronics #8786,271.03
Healthcare,Walgreens,medical medicine doctor,204.46
Transportation,Uber,taxi,36.06
Bills & Utilities,Water Service,service,914.27
Bills & Utilities,Water Service,utility #2910,308.45
Shopping,Target,shoes,278.21
Others,Miscellaneous,misc payment #6830,951.11
Food & Dining,McDonalds,meal,125.33
Healthcare,Quest Diagnostics,prescription doctor,167.65
Others,Miscellaneous,general,532.95
Transportation,BP,transportation,58.11
Entertainment,Spotify,movie game entertainment #9861,41.32
Shopping,Target,shoes electronics accessories,297.39
Bills & Utilities,Electric Company,payment bill monthly #7819,917.74
Entertainment,Netflix,movie,21.93
Shopping,H&M,electronics purchase,71.08
Shopping,Amazon,electronics clothes #1869,167.78
Healthcare,Quest Diagnostics,prescription medicine medical,52.91
Shopping,Amazon,accessories electronics,150.62
Shopping,Target,accessories electronics,16.8
Groceries,Whole Foods,meat,161.17
Transportation,BP,taxi transit ride,69.16
Food & Dining,McDonalds,meal,754.37
Food & Dining,Local Restaurant,restaurant,406.15
Others,Unknown Vendor,service misc,492.85
Bills & Utilities,Water Service,bill,499.0
Bills & Utilities,Electric Company,payment monthly,506.72
Entertainment,Spotify,game movie #5988,29.46
Bills & Utilities,Electric Company,payment,385.44
Healthcare,Local Clinic,medical medicine prescription,253.94
Transportation,Lyft,gas taxi fuel,36.95
Food & Dining,Pizza Hut,delivery restaurant,528.52
Food & Dining,Pizza Hut,lunch,963.84
Food & Dining,Subway,takeout lunch meal,282.14
Others,Unknown Vendor,other service,95.72
Shopping,Target,clothes purchase,186.4
Food & Dining,Subway,meal restaurant #1272,561.02
Healthcare,Quest Diagnostics,medical #4094,364.1
Others,Various Services,general service other,28.73
Healthcare,CVS,medical prescription doctor,238.96
Bills & Utilities,Electric Company,service utility payment,196.18
Bills & Utilities,AT&T,monthly payment,528.41
Food & Dining,McDonalds,takeout,519.45
Entertainment,Spotify,game,44.18
Entertainment,Xbox,streaming entertainment music #1318,21.92
Healthcare,Local Clinic,medicine doctor #9126,492.45
Transportation,Metro,transportation transit ride #2208,53.99
Groceries,Trader Joes,produce meat food,55.67
Bills & Utilities,AT&T,payment,26.83
Entertainment,Spotify,game music movie,33.19
Entertainment,Spotify,music entertainment game,10.9
Food & Dining,Chipotle,meal #7449,531.1
Food & Dining,Pizza Hut,dinner takeout delivery,716.92
Food & Dining,Local Restaurant,meal takeout delivery,433.11
Others,Miscellaneous,payment other,369.92
Food & Dining,Pizza Hut,meal,588.22
Food & Dining,Subway,lunch,737.41
Food & Dining,Pizza Hut,dinner,106.65
Others,Miscellaneous,misc service #2398,132.16
Bills & Utilities,Electric Company,utility bill payment,236.89
Entertainment,AMC Theaters,movie entertainment game #3998,12.42
Groceries,Walmart,groceries food dairy #4293,98.54
Transportation,Lyft,transportation,61.73
Groceries,Kroger,produce,129.87
Food & Dining,McDonalds,lunch dinner,440.95
Entertainment,Steam,movie game #8363,10.15
Bills & Utilities,AT&T,bill payment,773.35
Entertainment,Netflix,music game movie,41.28
Healthcare,CVS,health doctor medicine,59.05
Groceries,Kroger,food,161.42
Groceries,Kroger,bread food produce,66.62
Others,Miscellaneous,other misc service,596.25
Bills & Utilities,Electric Company,service,623.61
Food & Dining,Subway,dinner,770.72
Food & Dining,Chipotle,meal restaurant #5282,655.16
Entertainment,AMC Theaters,game #1743,34.44
Others,Miscellaneous,other,297.2
Transportation,Uber,transit gas transportation #8483,15.09
Groceries,Whole Foods,meat #1891,62.93
Bills & Utilities,Water Service,payment #7819,948.64
Bills & Utilities,Verizon,bill payment monthly,295.65
Others,Unknown Vendor,other,360.86
Groceries,Trader Joes,dairy food,63.99
Others,Various Services,general service other,900.37
Entertainment,AMC Theaters,game music,31.32
Groceries,Walmart,groceries dairy #5724,99.94
Healthcare,Walgreens,medical,118.35
Transportation,Shell,transportation fuel gas,22.99
Groceries,Safeway,food meat produce,184.54
Healthcare,CVS,medical doctor,331.79
Bills & Utilities,Water Service,bill payment monthly,774.6
Shopping,Amazon,purchase clothes shoes,83.69
Bills & Utilities,Water Service,monthly bill,367.33
Healthcare,CVS,medical #3993,351.34
Shopping,H&M,shoes electronics,223.12
Others,Unknown Vendor,other service misc,636.65
Groceries,Kroger,dairy,147.6
Others,Various Services,payment,521.78
Entertainment,AMC Theaters,game music #6344,36.67
Shopping,Nike,accessories,265.52
Bills & Utilities,Electric Company,bill service utility #7823,709.55
Shopping,Amazon,shoes,95.58
Entertainment,Netflix,entertainment,40.29
Bills & Utilities,Electric Company,service payment,257.24
Others,Unknown Vendor,payment misc,190.1
Food & Dining,Pizza Hut,restaurant dinner,151.5
Transportation,Metro,transportation,68.71
Groceries,Safeway,bread food,173.71
Entertainment,Spotify,entertainment game,44.65
Groceries,Kroger,produce,114.69
Bills & Utilities,Electric Company,utility,137.66
Entertainment,Spotify,music streaming,11.64
Entertainment,Steam,streaming movie,47.08
Transportation,Lyft,transit,6.36
Shopping,Best Buy,shoes electronics,267.35
